id,user_id,record_date,record_time_slot,attendance_type,note,source,is_approved,approved_by,approved_at,created_at,updated_at,deleted_at
1,1,2025-08-01,full_day,onsite,,self,True,1,2025-08-01 17:51:00,2025-08-01 09:10:00,2025-08-01 17:51:00,
2,2,2025-08-01,full_day,onsite,,self,True,4,2025-08-01 17:25:00,2025-08-01 09:28:00,2025-08-01 17:25:00,
3,3,2025-08-01,full_day,onsite,,staff,True,5,2025-08-01 17:34:00,2025-08-01 09:08:00,2025-08-01 17:34:00,
4,4,2025-08-01,full_day,remote,,self,True,2,2025-08-01 17:32:00,2025-08-01 09:15:00,2025-08-01 17:32:00,
5,5,2025-08-01,full_day,onsite,,staff,True,2,2025-08-01 17:50:00,2025-08-01 09:21:00,2025-08-01 17:50:00,
6,6,2025-08-01,full_day,remote,,self,True,4,2025-08-01 17:33:00,2025-08-01 09:08:00,2025-08-01 17:33:00,
7,7,2025-08-01,full_day,onsite,,self,True,1,2025-08-01 17:43:00,2025-08-01 09:28:00,2025-08-01 17:43:00,
8,8,2025-08-01,full_day,onsite,,staff,True,4,2025-08-01 17:10:00,2025-08-01 09:14:00,2025-08-01 17:10:00,
9,9,2025-08-01,full_day,onsite,,self,True,2,2025-08-01 17:32:00,2025-08-01 09:29:00,2025-08-01 17:32:00,
10,10,2025-08-01,full_day,onsite,,staff,True,2,2025-08-01 17:34:00,2025-08-01 09:30:00,2025-08-01 17:34:00,
11,11,2025-08-01,full_day,onsite,,self,True,4,2025-08-01 17:01:00,2025-08-01 09:03:00,2025-08-01 17:01:00,
12,12,2025-08-01,full_day,onsite,,self,True,2,2025-08-01 17:56:00,2025-08-01 09:18:00,2025-08-01 17:56:00,
13,13,2025-08-01,full_day,remote,,self,True,5,2025-08-01 17:49:00,2025-08-01 09:04:00,2025-08-01 17:49:00,
14,14,2025-08-01,full_day,onsite,,self,True,5,2025-08-01 17:27:00,2025-08-01 09:30:00,2025-08-01 17:27:00,
15,15,2025-08-01,full_day,onsite,,self,True,4,2025-08-01 17:42:00,2025-08-01 09:20:00,2025-08-01 17:42:00,
16,16,2025-08-01,full_day,absent,,staff,True,4,2025-08-01 17:07:00,2025-08-01 09:02:00,2025-08-01 17:07:00,
