id,user_id,report_date,training_summary,training_reflection,condition_note,other_note,created_at,updated_at,deleted_at
1,1,2025-08-01,プログラミング基礎（Python）を学習,集中して取り組むことができた。理解が深まった。,体調良好。集中できた。,特になし,2025-08-01 16:35:00,2025-08-01 16:29:00,
2,2,2025-08-01,自己分析ワークショップ,実践的な内容で、就職後に役立ちそう。,若干の頭痛があったが、訓練には影響なし。,,2025-08-01 16:48:00,2025-08-01 16:27:00,
3,3,2025-08-01,データ入力実務訓練,他の利用者と協力して取り組めた。,若干の頭痛があったが、訓練には影響なし。,,2025-08-01 16:37:00,2025-08-01 16:28:00,
4,4,2025-08-01,企業研究と面接準備,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-01 16:24:00,2025-08-01 16:56:00,
5,5,2025-08-01,コミュニケーションスキル訓練,他の利用者と協力して取り組めた。,体調良好。集中できた。,,2025-08-01 16:21:00,2025-08-01 16:02:00,
6,6,2025-08-01,プログラミング基礎（Python）を学習,他の利用者と協力して取り組めた。,体調は良好。,,2025-08-01 16:44:00,2025-08-01 16:14:00,
7,7,2025-08-01,データ入力実務訓練,講師の説明が分かりやすく、理解しやすかった。,体調良好。集中できた。,,2025-08-01 16:24:00,2025-08-01 16:17:00,
8,8,2025-08-01,業務効率化ツールの学習,他の利用者と協力して取り組めた。,良好な状態で訓練できた。,特になし,2025-08-01 16:29:00,2025-08-01 16:28:00,
9,9,2025-08-01,ビジネスマナー研修に参加,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,良好な状態で訓練できた。,,2025-08-01 16:08:00,2025-08-01 16:36:00,
10,10,2025-08-01,自己分析ワークショップ,講師の説明が分かりやすく、理解しやすかった。,特に問題なし。,,2025-08-01 16:44:00,2025-08-01 16:23:00,
11,11,2025-08-01,業務効率化ツールの学習,復習が必要だと感じた。,体調良好。集中できた。,特になし,2025-08-01 16:22:00,2025-08-01 16:07:00,
12,12,2025-08-01,履歴書・職務経歴書の作成,達成感がある一日だった。,午後は眠気があったが、最後まで頑張った。,,2025-08-01 16:43:00,2025-08-01 16:13:00,
13,13,2025-08-01,自己分析ワークショップ,実践的な内容で、就職後に役立ちそう。,体調は良好。,,2025-08-01 16:54:00,2025-08-01 16:20:00,
14,14,2025-08-01,業務効率化ツールの学習,実践的な内容で、就職後に役立ちそう。,,,2025-08-01 16:35:00,2025-08-01 16:53:00,
15,15,2025-08-01,業務効率化ツールの学習,もう少し時間をかけて学びたかった。,良好な状態で訓練できた。,,2025-08-01 16:59:00,2025-08-01 16:18:00,
16,17,2025-08-01,自己分析ワークショップ,他の利用者と協力して取り組めた。,体調は良好。,,2025-08-01 16:21:00,2025-08-01 16:48:00,
17,18,2025-08-01,企業研究と面接準備,実践的な内容で、就職後に役立ちそう。,体調は良好。,,2025-08-01 16:16:00,2025-08-01 16:50:00,
18,19,2025-08-01,ビジネスマナー研修に参加,実践的な内容で、就職後に役立ちそう。,良好な状態で訓練できた。,特になし,2025-08-01 16:36:00,2025-08-01 16:59:00,
19,20,2025-08-01,業務効率化ツールの学習,明日も頑張りたい。,体調は良好。,,2025-08-01 16:15:00,2025-08-01 16:53:00,
