id,user_id,report_date,sleep_rating,stress_rating,meal_rating,bed_time_local,wake_time_local,sleep_minutes,mood_score,created_at,updated_at,deleted_at
1,1,2025-08-01,1,1,3,01:45:00,06:15:00,270,7,2025-08-01 08:51:00,2025-08-01 08:45:00,
2,2,2025-08-01,2,1,2,00:30:00,09:15:00,525,8,2025-08-01 08:54:00,2025-08-01 08:39:00,
3,3,2025-08-01,3,1,3,22:30:00,07:15:00,525,8,2025-08-01 08:32:00,2025-08-01 08:45:00,
4,4,2025-08-01,3,1,3,22:15:00,06:15:00,480,7,2025-08-01 08:42:00,2025-08-01 08:36:00,
5,5,2025-08-01,3,3,2,01:00:00,08:15:00,435,5,2025-08-01 08:54:00,2025-08-01 08:46:00,
6,6,2025-08-01,2,1,3,02:30:00,08:45:00,375,5,2025-08-01 08:50:00,2025-08-01 08:34:00,
7,7,2025-08-01,1,2,2,02:00:00,07:15:00,315,4,2025-08-01 08:42:00,2025-08-01 08:44:00,
8,8,2025-08-01,2,1,2,02:15:00,09:15:00,420,6,2025-08-01 08:43:00,2025-08-01 08:35:00,
9,9,2025-08-01,3,2,3,00:00:00,07:45:00,465,6,2025-08-01 08:53:00,2025-08-01 08:33:00,
10,10,2025-08-01,3,2,1,23:00:00,09:15:00,600,4,2025-08-01 08:45:00,2025-08-01 08:51:00,
11,11,2025-08-01,2,2,2,02:45:00,08:30:00,345,5,2025-08-01 08:47:00,2025-08-01 08:32:00,
12,12,2025-08-01,2,2,3,00:45:00,07:15:00,390,6,2025-08-01 08:42:00,2025-08-01 08:46:00,
13,13,2025-08-01,2,1,3,01:30:00,06:45:00,315,7,2025-08-01 08:33:00,2025-08-01 08:31:00,
14,14,2025-08-01,2,1,3,01:45:00,07:30:00,345,4,2025-08-01 08:35:00,2025-08-01 08:49:00,
15,15,2025-08-01,3,2,2,00:45:00,09:00:00,495,7,2025-08-01 08:50:00,2025-08-01 08:37:00,
16,17,2025-08-01,3,1,2,22:15:00,06:00:00,465,6,2025-08-01 08:48:00,2025-08-01 08:38:00,
17,18,2025-08-01,3,1,2,23:00:00,06:30:00,450,4,2025-08-01 08:49:00,2025-08-01 08:52:00,
18,19,2025-08-01,3,3,2,01:45:00,09:00:00,435,5,2025-08-01 08:56:00,2025-08-01 08:58:00,
19,20,2025-08-01,2,1,3,00:45:00,07:15:00,390,6,2025-08-01 08:55:00,2025-08-01 08:36:00,
20,21,2025-08-01,2,1,3,00:30:00,08:00:00,450,5,2025-08-01 08:46:00,2025-08-01 08:59:00,
21,22,2025-08-01,2,2,2,02:45:00,08:15:00,330,8,2025-08-01 08:51:00,2025-08-01 08:32:00,
22,23,2025-08-01,2,2,1,23:15:00,08:45:00,570,7,2025-08-01 08:30:00,2025-08-01 08:51:00,
23,24,2025-08-01,2,1,2,01:45:00,08:00:00,375,6,2025-08-01 08:35:00,2025-08-01 08:38:00,
24,25,2025-08-01,3,1,1,22:15:00,06:30:00,495,7,2025-08-01 08:48:00,2025-08-01 08:30:00,
25,1,2025-08-04,2,1,2,01:15:00,09:00:00,465,7,2025-08-04 08:30:00,2025-08-04 08:48:00,
26,2,2025-08-04,3,3,3,00:15:00,07:15:00,420,8,2025-08-04 08:33:00,2025-08-04 08:39:00,
27,3,2025-08-04,3,1,3,00:45:00,09:30:00,525,7,2025-08-04 08:38:00,2025-08-04 08:51:00,
28,4,2025-08-04,2,2,3,01:30:00,08:45:00,435,8,2025-08-04 08:41:00,2025-08-04 08:39:00,
29,5,2025-08-04,1,2,3,00:45:00,06:30:00,345,6,2025-08-04 08:53:00,2025-08-04 08:50:00,
30,6,2025-08-04,3,1,3,22:15:00,09:15:00,600,6,2025-08-04 08:34:00,2025-08-04 08:41:00,
31,7,2025-08-04,2,3,2,01:00:00,07:45:00,405,8,2025-08-04 08:41:00,2025-08-04 08:36:00,
32,8,2025-08-04,3,1,1,22:15:00,09:00:00,600,5,2025-08-04 08:58:00,2025-08-04 08:50:00,
33,9,2025-08-04,1,1,2,02:45:00,07:30:00,285,7,2025-08-04 08:41:00,2025-08-04 08:58:00,
34,10,2025-08-04,3,3,2,00:45:00,09:30:00,525,6,2025-08-04 08:31:00,2025-08-04 08:48:00,
35,11,2025-08-04,1,3,3,02:30:00,06:45:00,255,5,2025-08-04 08:48:00,2025-08-04 09:00:00,
36,13,2025-08-04,1,1,3,00:30:00,06:00:00,330,6,2025-08-04 08:51:00,2025-08-04 08:34:00,
37,14,2025-08-04,3,3,3,01:15:00,08:15:00,420,6,2025-08-04 08:39:00,2025-08-04 08:32:00,
38,15,2025-08-04,3,2,2,00:00:00,09:00:00,540,6,2025-08-04 08:56:00,2025-08-04 08:48:00,
39,16,2025-08-04,2,1,2,22:00:00,09:30:00,600,6,2025-08-04 08:41:00,2025-08-04 08:51:00,
40,17,2025-08-04,3,2,3,22:00:00,08:15:00,600,7,2025-08-04 08:39:00,2025-08-04 08:55:00,
41,18,2025-08-04,2,1,3,02:15:00,06:30:00,255,3,2025-08-04 08:53:00,2025-08-04 08:36:00,
42,19,2025-08-04,2,1,1,01:00:00,08:15:00,435,6,2025-08-04 08:59:00,2025-08-04 08:41:00,
43,20,2025-08-04,3,2,3,23:45:00,09:45:00,600,6,2025-08-04 08:33:00,2025-08-04 08:58:00,
44,21,2025-08-04,3,1,3,00:30:00,08:15:00,465,6,2025-08-04 08:51:00,2025-08-04 08:58:00,
45,22,2025-08-04,2,3,2,00:15:00,07:30:00,435,8,2025-08-04 08:47:00,2025-08-04 08:36:00,
